ID,Inzerent,Výdavky na reklamu,Počet reklám,Video,Obrázková,Textová,Aktualizácia
AR01131051050099277825,Progresívne Slovensko,149550,139,115100,34450,0,29.9.2023
AR10321757764723933185,Sme Rodina - Boris Kollár,44300,85,34450,9750,100,29.9.2023
AR04107330139161886721,HLAS - sociálna demokracia,123100,264,49550,70850,2700,29.9.2023
AR03398669606292815873,Demokrati,93300,204,72800,19750,750,29.9.2023
AR02511563077879595009,Michal Šimečka,4800,5,4800,0,0,29.9.2023
AR15753204468449017857,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO),10900,61,5540,5360,0,29.9.2023
AR06649775956045070337,SMER - SD,16750,15,16750,0,0,29.9.2023
AR10817435198711398401,Progresívne Slovensko,1250,4,0,1250,0,29.9.2023
AR10706885901608288257,Sloboda a Solidarita,36300,76,19500,16550,250,29.9.2023
AR02479951293947314177,SME RODINA,120100,201,119000,1150,0,29.9.2023
AR07186326669643218945,Občianska konzervatívna strana,9550,56,7370,2180,0,29.9.2023
AR02631858033734451201,Modrí,50650,285,42650,6800,1250,29.9.2023
AR09226257739481612289,MySlovensko,1400,12,1400,0,0,29.9.2023
AR05948289221151162369,"OĽANO A PRIATELIA: OBYČAJNÍ ĽUDIA (OĽANO), NEZÁVISLÍ KANDIDÁTI (NEKA), NOVA, SLOBODNÍ A ZODPOVEDNÍ, PAČIVALE ROMA, MAGYAR SZÍVEK",68800,72,15800,53000,0,29.9.2023
AR00201700494672920577,Szövetség – Magyarok. Nemzetiségek. Régiók. ALIANCIA – Maďari. Národnosti. Regióny.,30000,212,18300,11700,0,29.9.2023
AR15193058853794086913,"Maďarské fórum, Občianski demokrati Slovenska, Za regióny, Rómska koalícia, Demokratická strana",47100,488,15500,26200,5410,29.9.2023
AR11301805323838291969,Gabriel Paľa,1300,282,375,925,0,29.9.2023
AR15766750451703218177,Kresťanskodemkratické hnutie,19950,73,18100,1890,0,29.9.2023
AR12714587846095142913,MOST - HÍD 2023,11550,77,9310,2240,0,29.9.2023
AR09632812574852513793,Slovenská národná strana,4600,32,2770,1440,385,29.9.2023
AR14474182174275796993,ZA ĽUDÍ,31150,14,31100,0,0,29.9.2023
AR06318121776903618561,KARMA,2800,12,884,559,1360,29.9.2023